Año,Trimestre,Provincia,Accesos por cada 100 hogares (Provincia),Accesos por cada 100 hab (Provincia),Accesos por cada 100 hogares (Total),Accesos por cada 100 hab (Total)
2024,2,Buenos Aires,79.84,27.43,78.13,24.57
2024,2,Capital Federal,116.37,47.44,78.13,24.57
2024,2,Catamarca,68.81,17.5,78.13,24.57
2024,2,Chaco,44.06,11.78,78.13,24.57
2024,2,Chubut,86.33,26.46,78.13,24.57
2024,2,Córdoba,90.79,27.79,78.13,24.57
2024,2,Corrientes,51.38,13.53,78.13,24.57
2024,2,Entre Ríos,68.64,20.52,78.13,24.57
2024,2,Formosa,39.69,10.1,78.13,24.57
2024,2,Jujuy,58.3,14.91,78.13,24.57
2024,2,La Pampa,101.17,33.33,78.13,24.57
2024,2,La Rioja,79.52,21.17,78.13,24.57
2024,2,Mendoza,52.3,14.6,78.13,24.57
2024,2,Misiones,57.73,15.72,78.13,24.57
2024,2,Neuquén,78.93,23.49,78.13,24.57
2024,2,Río Negro,71.35,21.95,78.13,24.57
2024,2,Salta,55.72,13.49,78.13,24.57
2024,2,San Juan,51.17,13.03,78.13,24.57
2024,2,San Luis,103.4,29.59,78.13,24.57
2024,2,Santa Cruz,69.92,20.8,78.13,24.57
2024,2,Santa Fe,81.34,25.58,78.13,24.57
2024,2,Santiago Del Estero,49.67,12.33,78.13,24.57
2024,2,Tierra Del Fuego,108.89,32.28,78.13,24.57
2024,2,Tucumán,60.84,15.07,78.13,24.57
2024,1,Buenos Aires,81.1,27.8,78.89,24.79
2024,1,Capital Federal,119.53,48.78,78.89,24.79
2024,1,Catamarca,68.82,17.5,78.89,24.79
2024,1,Chaco,46.7,12.48,78.89,24.79
2024,1,Chubut,84.89,26.02,78.89,24.79
2024,1,Córdoba,90.7,27.77,78.89,24.79
2024,1,Corrientes,51.94,13.68,78.89,24.79
2024,1,Entre Ríos,69.31,20.72,78.89,24.79
2024,1,Formosa,39.61,10.08,78.89,24.79
2024,1,Jujuy,57.65,14.74,78.89,24.79
2024,1,La Pampa,100.49,33.11,78.89,24.79
2024,1,La Rioja,80.03,21.3,78.89,24.79
2024,1,Mendoza,52.59,14.67,78.89,24.79
2024,1,Misiones,56.76,15.46,78.89,24.79
2024,1,Neuquén,79.5,23.66,78.89,24.79
2024,1,Río Negro,71.14,21.88,78.89,24.79
2024,1,Salta,56.3,13.63,78.89,24.79
2024,1,San Juan,51.62,13.15,78.89,24.79
2024,1,San Luis,102.7,29.39,78.89,24.79
2024,1,Santa Cruz,67.58,20.1,78.89,24.79
2024,1,Santa Fe,80.4,25.28,78.89,24.79
2024,1,Santiago Del Estero,49.41,12.26,78.89,24.79
2024,1,Tierra Del Fuego,109.78,32.54,78.89,24.79
2024,1,Tucumán,60.48,14.98,78.89,24.79
2023,4,Buenos Aires,80.96,27.68,78.56,24.66
2023,4,Capital Federal,117.02,47.8,78.56,24.66
2023,4,Catamarca,68.63,17.46,78.56,24.66
2023,4,Chaco,44.35,11.85,78.56,24.66
2023,4,Chubut,84.96,26.04,78.56,24.66
2023,4,Córdoba,90.67,27.76,78.56,24.66
2023,4,Corrientes,52.56,13.84,78.56,24.66
2023,4,Entre Ríos,69.94,20.91,78.56,24.66
2023,4,Formosa,39.23,9.98,78.56,24.66
2023,4,Jujuy,57.78,14.77,78.56,24.66
2023,4,La Pampa,99.96,32.93,78.56,24.66
2023,4,La Rioja,80.22,21.35,78.56,24.66
2023,4,Mendoza,52.15,14.55,78.56,24.66
2023,4,Misiones,56.27,15.33,78.56,24.66
2023,4,Neuquén,79.91,23.78,78.56,24.66
2023,4,Río Negro,70.26,21.61,78.56,24.66
2023,4,Salta,56.98,13.8,78.56,24.66
2023,4,San Juan,50.08,12.75,78.56,24.66
2023,4,San Luis,102.07,29.21,78.56,24.66
2023,4,Santa Cruz,73.75,21.94,78.56,24.66
2023,4,Santa Fe,79.75,25.08,78.56,24.66
2023,4,Santiago Del Estero,49.08,12.18,78.56,24.66
2023,4,Tierra Del Fuego,110.49,32.75,78.56,24.66
2023,4,Tucumán,61.04,15.12,78.56,24.66
2023,3,Buenos Aires,80.64,27.5,77.84,24.41
2023,3,Capital Federal,116.4,47.6,77.84,24.41
2023,3,Catamarca,68.55,17.44,77.84,24.41
2023,3,Chaco,42.87,11.46,77.84,24.41
2023,3,Chubut,84.23,25.82,77.84,24.41
2023,3,Córdoba,90.05,27.57,77.84,24.41
2023,3,Corrientes,52.78,13.9,77.84,24.41
2023,3,Entre Ríos,68.84,20.58,77.84,24.41
2023,3,Formosa,38.86,9.89,77.84,24.41
2023,3,Jujuy,57.61,14.73,77.84,24.41
2023,3,La Pampa,99.0,32.62,77.84,24.41
2023,3,La Rioja,80.44,21.41,77.84,24.41
2023,3,Mendoza,52.03,14.52,77.84,24.41
2023,3,Misiones,55.51,15.12,77.84,24.41
2023,3,Neuquén,79.97,23.8,77.84,24.41
2023,3,Río Negro,68.4,21.04,77.84,24.41
